obs,site,treatment,chamber,month,day,year,days.post.fert,NO3_N_mg_kg_soil,NH4_N_mg_kg_soil,g_h2o_g_soil,volum_h2o_content,soil_porosity,SWFPS,chamber_ID
370,T15,80,A,3,16,2017,30,0.133175301,6.079664045,0.225995316,0.294819044,0.507722233,58.0669951,T15_80_A_30
371,T15,80,B,3,16,2017,30,0.77912275,4.012194297,0.256804734,0.335011041,0.507722233,65.98313394,T15_80_B_30
372,T15,80,C,3,16,2017,30,0.104887289,6.155580274,0.272189349,0.355080827,0.507722233,69.93604058,T15_80_C_30
373,T15,80,D,3,16,2017,30,0.07072596,5.607394515,0.230522088,0.300724382,0.507722233,59.23009911,T15_80_D_30
374,T15,80,E,3,16,2017,30,3.275561921,4.278180108,0.24063745,0.313920236,0.507722233,61.82912938,T15_80_E_30
375,T15,120,A,3,16,2017,30,7.186271159,3.474835373,0.246785058,0.321940013,0.507722233,63.40868921,T15_120_A_30
376,T15,120,B,3,16,2017,30,2.211854275,2.66155657,0.237199582,0.309435413,0.507722233,60.94580721,T15_120_B_30
377,T15,120,C,3,16,2017,30,0,4.018917876,0.248221906,0.323814433,0.507722233,63.77787138,T15_120_C_30
378,T15,120,D,3,16,2017,30,0.069882859,4.185909418,0.239291833,0.312164831,0.507722233,61.483388,T15_120_D_30
379,T15,120,E,3,16,2017,30,3.393966424,4.683637575,0.2750501,0.35881278,0.507722233,70.67107891,T15_120_E_30
380,T15,160,A,3,16,2017,30,0.282333324,1.972883629,0.239259259,0.312122337,0.507722233,61.47501847,T15_160_A_30
381,T15,160,B,3,16,2017,30,1.147663228,3.000255768,0.246166263,0.321132772,0.507722233,63.24969667,T15_160_B_30
382,T15,160,C,3,16,2017,30,3.84637497,2.610038258,0.232123799,0.302813872,0.507722233,59.64164103,T15_160_C_30
383,T15,160,D,3,16,2017,30,21.09339467,2.41932445,0.225925926,0.294728522,0.507722233,58.04916605,T15_160_D_30
384,T15,160,E,3,16,2017,30,0.991847679,1.66009444,0.238600874,0.31126345,0.507722233,61.30585378,T15_160_E_30
