"site","treatment","chamber","date","days.post.fert","mean_flux","median_flux","lowb","upb","original_slope","adj.r2","mins_max","num_obs_total","num_obs_below_det"
"T15","120","A","2/3/2017",16,0.0471356117529196,0.0471356117529196,NA,NA,9.69473684229873,0.957962335907826,4,19,19
"T15","120","A","16/02/17",2,0.0380206796650904,0.0380206796650904,NA,NA,7.820000000224,0.939265129528772,4,19,19
"T15","120","A","8/3/2017",22,0.0328976886371205,0.0328976886371205,NA,NA,6.76631578961121,0.931242800590184,4,19,14
"T15","120","A","17/02/17",3,0.142404820523939,0.142404820523939,NA,NA,29.2894736848059,0.990037387254621,4,19,19
"T15","120","A","16/03/17",30,0.00447302113704778,0.00447302113704778,NA,NA,0.920000000021895,0.325653944304227,4,19,19
"T15","120","A","19/02/17",5,0.74217861124629,0.74217861124629,NA,NA,152.649473687373,0.994595327675348,4,19,19
"T15","120","B","2/3/2017",16,0.0025384650846971,0.0025384650846971,NA,NA,0.522105263181984,0.113908977302138,4,19,19
"T15","120","B","16/02/17",2,0.0243457225956433,0.0243457225956433,NA,NA,5.00736842109084,0.809593061459941,4,19,18
"T15","120","B","8/3/2017",22,0.0116892222842503,0.0116892222842503,NA,NA,2.40421052623597,0.403840801705856,4,19,9
"T15","120","B","17/02/17",3,0.182851372064007,0.182851372064007,NA,NA,37.6084210534088,0.976332763100521,4,19,19
"T15","120","B","16/03/17",30,0.0495819551205881,0.0495819551205881,NA,NA,10.1978947370083,0.986605784647287,4,19,19
"T15","120","B","19/02/17",5,0.865493764903306,0.865493764903306,NA,NA,178.012631582493,0.993451740406397,4,19,19
"T15","120","C","2/3/2017",16,0.307323165054498,0.307323165054498,NA,NA,63.209473685491,0.989705119555242,4,19,19
"T15","120","C","16/02/17",2,0.0091149320885355,0.0091149320885355,NA,NA,1.87473684221999,0.552492705407221,4,19,19
"T15","120","C","8/3/2017",22,0.0274266822350772,0.0274266822350772,NA,NA,5.64105263171752,0.964997675642862,4,19,15
"T15","120","C","17/02/17",3,0.18313797296084,0.18313797296084,NA,NA,37.6673684218681,0.994068256732192,4,19,19
"T15","120","C","16/03/17",30,0.0214080634052551,0.0214080634052551,NA,NA,4.40315789482329,0.879475560322718,4,19,19
"T15","120","C","19/02/17",5,0.899855165263331,0.899855165263331,NA,NA,185.080000003837,0.993807820586423,4,19,19
"T15","120","D","2/3/2017",16,0.0143556341984985,0.0143556341984985,NA,NA,2.9526315790338,0.375845086549273,4,19,19
"T15","120","D","16/02/17",2,0.0193660320164426,0.0193660320164426,NA,NA,3.98315789478035,0.891706181725537,4,19,18
"T15","120","D","8/3/2017",22,0.013454888523113,0.013454888523113,NA,NA,2.76736842109547,0.957585794616852,4,19,19
"T15","120","D","16/03/17",30,0.00558871748452771,0.00558871748452771,NA,NA,1.14947368419577,0.154434834846158,4,19,18
"T15","120","D","19/02/17",5,0.982524170328446,0.982524170328446,NA,NA,202.08315789902,0.998167746543217,4,19,19
"T15","120","E","2/3/2017",16,-0.0102306284358312,-0.0102306284358312,NA,NA,-2.10421052635597,0.605910687865168,4,19,19
"T15","120","E","16/02/17",2,0.020558496461733,0.020558496461733,NA,NA,4.22842105274014,0.942558642019681,4,19,19
"T15","120","E","8/3/2017",22,0.0206915611635277,0.0206915611635277,NA,NA,4.25578947374761,0.717629435743425,4,19,19
"T15","120","E","16/03/17",30,0.000112593209350256,0.000112593209350256,NA,NA,0.0231578947272911,-0.0585480875573616,4,19,19
"T15","120","E","19/02/17",5,0.371649712733744,0.371649712733744,NA,NA,76.4400000016206,0.995388568726757,4,19,19
"T15","160","A","2/3/2017",16,0.439850490390181,0.439850490390181,NA,NA,90.4673684228723,0.990943072267568,4,19,19
"T15","160","A","8/3/2017",22,0,0,NA,NA,0,NA,4,19,0
"T15","160","A","17/02/17",3,0.120884163908934,0.120884163908934,NA,NA,24.8631578951732,0.979773779434409,4,19,19
"T15","160","A","16/03/17",30,0,0,NA,NA,0,NA,4,19,0
